"CheckItem","Category","Result","Details","Timestamp"
"W-01","Account Management","Vulnerable","The default administrator account name has not been changed.","2025-09-14 02:00:21"
"W-02","Account Management","Good","The Guest account is disabled.","2025-09-14 02:00:21"
"W-03","Account Management","Manual Check Required","Review the list of user accounts in the 'UserAccounts' property to identify any unnecessary accounts. User Accounts: Name: Administrator, Enabled: True, Description: Built-in account for administering the computer/domain; Name: DefaultAccount, Enabled: False, Description: A user account managed by the system.; Name: Guest, Enabled: False, Description: Built-in account for guest access to the computer/domain; Name: vagrant, Enabled: True, Description: Vagrant; Name: WDAGUtilityAccount, Enabled: False, Description: A user account managed and used by the system for Windows Defender Application Guard scenarios.","2025-09-14 02:00:21"
"W-04","Account Management","Vulnerable","The account lockout threshold is not set to a specific number (Current value: Never).","2025-09-14 02:00:21"
"W-05","Account Management","Good","Storing passwords using reversible encryption is disabled (Value: 0).","2025-09-14 02:00:26"
"W-06","Account Management","Manual Check Required","Review the members of the 'Administrators' group in the 'GroupMembers' property. Group Members: Name: WIN-KOE539IAVT1\Administrator, ObjectClass: 사용자; Name: WIN-KOE539IAVT1\vagrant, ObjectClass: 사용자","2025-09-14 02:00:29"
"W-46","Account Management","Vulnerable","The 'Network access: Do not allow anonymous enumeration of SAM accounts and shares' policy is disabled or not configured (RestrictAnonymous value: 0). Anonymous users might be able to enumerate SAM accounts and shares.","2025-09-14 02:00:30"
"W-47","Account Management","Vulnerable","Account lockout duration (0 minutes) or Reset account lockout counter after (0 minutes) are not set to recommended values (>= 60 minutes).","2025-09-14 02:00:30"
"W-48","Account Management","Good","The 'Password must meet complexity requirements' policy is enabled.","2025-09-14 02:00:31"
"W-49","Account Management","Vulnerable","The 'Minimum password length' policy is set to 0 characters, which is less than the recommended 8 characters.","2025-09-14 02:00:31"
"W-50","Account Management","Good","The 'Maximum password age' policy is set to 0.000486111111111111 days (Recommended: <= 90 days).","2025-09-14 02:00:31"
"W-51","Account Management","Vulnerable","The 'Minimum password age' policy is set to 0 days, allowing immediate password changes back to previous ones.","2025-09-14 02:00:33"
"W-52","Account Management","Vulnerable","The 'Interactive logon: Do not display last user name' policy is disabled (Current value: 0).","2025-09-14 02:00:33"
"W-53","Account Management","Vulnerable","'Allow log on locally' policy (SeInteractiveLogonRight) not found in security policy export.","2025-09-14 02:00:34"
"W-54","Account Management","Good","The 'Network access: Allow anonymous SID/name translation' policy is disabled.","2025-09-14 02:00:34"
"W-55","Account Management","Vulnerable","The 'Enforce password history' policy is set to remember 0 passwords, which is less than the recommended 4.","2025-09-14 02:00:34"
"W-56","Account Management","Vulnerable","The 'Accounts: Limit local account use of blank passwords to console logon only' policy is disabled (Current value: 0).","2025-09-14 02:00:35"
"W-57","Account Management","Good","The 'Remote Desktop Users' group contains only the built-in Administrator account or is empty.","2025-09-14 02:00:35"
"W-07","Service Management","Vulnerable","The following shares grant access to 'Everyone': VulnerableShare","2025-09-14 02:00:35"
